customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
9479-HYNYL,Female,0,Yes,No,1.5814795246294708,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.5262912239193389,1.5084696466630247,No
4565-NLZBV,Female,0,Yes,No,1.5814795246294708,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),-1.3364957123162147,-0.25672368666072287,No
8318-LCNBW,Male,0,Yes,No,0.10755200237343392,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),-0.38931591423034007,-0.15918271483884566,No
9261-WDCAF,Male,0,No,No,-1.2026057951874878,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,-0.33946434591003083,-0.928817436104285,No
4909-JOUPP,Male,1,Yes,No,1.6224219558032498,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),1.4900882114453167,2.477649114812993,No
1951-IEYXM,Male,0,Yes,Yes,1.6224219558032498,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.8553115748333793,1.834033352386056,No
4227-OJHAL,Female,0,Yes,Yes,1.4586522311081345,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),0.27038650654175167,1.268958508379679,No
1708-PBBOA,Female,0,No,No,0.39414902058988555,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,-0.3361409080220102,0.02531664092208212,No
8746-BFOAJ,Male,1,No,No,-0.46564203405946936,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),-1.4744183846690702,-0.8225717886543626,No
4145-UQXUQ,Female,1,No,No,-0.9978936393185939,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.9051631431536885,-0.6898365318693482,Yes
9518-XXBXE,Male,1,Yes,No,-0.9160087769710362,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,0.34682557796622565,-0.6940342180859183,No
9558-IHEZX,Female,0,No,No,1.5814795246294708,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),1.3920467937487084,2.205815792662058,No
1707-HABPF,Female,1,No,No,0.5579187452850007,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),0.8785756400495237,0.8109025698104878,No
9643-AVVWI,Female,0,Yes,Yes,-1.2026057951874878,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,0.5030271587031946,-0.9057522549985002,No
3398-FSHON,Female,1,No,No,-0.8341239146234786,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.8785756400495237,-0.528755846579811,Yes
9139-TWBAS,Female,0,Yes,No,-0.26092987819057534,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),-0.5654581222954325,-0.4863371227071034,No
0929-HYQEW,Male,0,No,No,-1.2026057951874878,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,-0.4890190508709584,-0.9413000293272433,No
0487-CRLZF,Female,0,No,No,0.6807460388063372,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.3185763559180506,0.6321916024113564,No
0454-OKRCT,Male,0,No,No,0.02566714002587631,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),0.522967786031318,0.1590460865478631,No
2347-WKKAE,Male,0,Yes,No,0.39414902058988555,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,0.981602214578163,0.7615245240524139,No
6663-JOCQO,Male,0,Yes,Yes,-0.056217722321681304,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),0.3451638590222154,0.023571287179403082,No
1297-VQDRP,Male,1,Yes,Yes,1.4586522311081345,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),1.405340545300791,2.24847754047362,No
4868-AADLV,Male,1,Yes,Yes,1.3767673687605768,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,1.7077733931106667,2.461653721019326,No
0788-DXBFY,Male,0,Yes,Yes,1.0492279193703464,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,-1.505991044605266,-0.5224372241696057,No
5845-BZZIB,Male,0,Yes,Yes,0.10755200237343392,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,-1.4877121362211525,-0.7228215082974485,No
7310-EGVHZ,Male,0,No,No,-1.2844906575350454,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),-1.4843886983331318,-1.0034478784178302,No
4826-TZEVA,Female,0,No,No,0.31226415824232795,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),0.3302083885261226,0.3007069498144263,No
4080-IIARD,Female,0,Yes,No,-0.7931814834496999,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,0.37673651895841137,-0.5787083125569944,No
7672-VFMXZ,Male,0,Yes,No,1.0082854881965677,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,-0.3045682480858143,0.38903510504519984,No
9940-RHLFB,Female,0,No,No,-1.2844906575350454,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,0.34682557796622565,-0.9791012983617238,Yes
9117-SHLZX,Male,0,No,No,-1.2844906575350454,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,-0.6369120368878756,-0.9921804048891422,Yes
7253-UVNDW,Female,0,No,No,0.5579187452850007,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),-0.3494346595740926,0.07467259359480562,Yes
9898-KZQDZ,Female,1,Yes,Yes,0.31226415824232795,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0.9865873714101936,0.5962019663756059,Yes
8559-CIZFV,Male,0,Yes,Yes,-0.46564203405946936,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Mailed check,0.4199412115026792,-0.29434821101240055,Yes
2506-CLAKW,Female,0,No,No,-1.0797785016661514,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),1.106231135378936,-0.7616390592580461,Yes
8591-TKMZH,Male,0,Yes,Yes,1.0901703505441251,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,1.5366163418776049,1.8841183768753416,No
4925-LMHOK,Male,0,No,No,-0.7112966211021422,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),-0.20818854933321654,-0.5971560388245521,Yes
4971-PUYQO,Female,0,No,No,-0.2199874470167965,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,0.9865873714101936,0.19152292201290488,Yes
0186-CAERR,Male,0,No,No,1.5814795246294708,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),1.709435112054677,2.6592984625637226,No
6233-HXJMX,Female,0,No,No,0.516976314111222,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),0.8121068822891114,0.8399770701315725,No
9367-OIUXP,Male,0,No,No,-1.161663364013709,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.4677715088930288,-0.9800954872024904,No
4588-YBNIB,Female,0,No,No,-1.2844906575350454,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,-1.5043293256612555,-1.0037129954420345,Yes
6467-CHFZW,Male,0,Yes,Yes,0.5988611764587796,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1461123900351828,1.0860940409346784,Yes
8148-BPLZQ,Male,0,No,No,0.06660957119965512,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,-0.5006510834790306,-0.2460969126071956,No
0557-ASKVU,Female,0,Yes,Yes,-0.5884693275808057,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),-0.3477729406300824,-0.589467645122624,No
3354-OADJP,Female,0,No,No,-0.9978936393185939,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),-0.35275809746211323,-0.8145299055868285,No
2259-OUUSZ,Male,0,No,No,-1.0388360704923727,No,No phone service,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),-0.9759027014659781,-0.9021068959156895,No
4919-IKATY,Male,0,Yes,Yes,-1.1207209328399304,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,0.6525818636641221,-0.8118787353447842,Yes
4328-VUFWD,Female,0,No,No,0.2713217270685491,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Electronic check,-0.1849244841170724,-0.036234694864044584,No
8681-ICONS,Male,0,Yes,Yes,-0.13810258466923891,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,-1.4694332278370392,-0.7230203460656018,No
2232-DMLXU,Female,0,Yes,No,-1.2844906575350454,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,-0.32118543752591733,-0.9879827186725721,Yes
6447-GORXK,Male,0,No,Yes,-0.056217722321681304,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),-1.3248636797081426,-0.6636562257291615,No
1777-JYQPJ,Male,0,No,No,-1.2435482263612667,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,-1.3481277449242868,-0.9953839022649456,No
6685-GBWJZ,Male,0,Yes,No,1.2539400752392404,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),0.19727087300529808,0.9533808772350146,No
3955-JBZZM,Male,0,No,No,-0.5065844652332482,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,0.4631459040469471,-0.2871458651881804,No
5197-LQXXH,Female,0,Yes,No,1.5814795246294708,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.6127006090078747,1.5921803470555713,No
5993-JSUWV,Female,0,No,No,1.3767673687605768,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),-0.12344088318869102,0.7627838299173848,No
2219-MVUSO,Male,0,No,No,-0.9978936393185939,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,-0.6551909452719891,-0.8186613125473473,Yes
3158-MOERK,Female,0,No,No,-1.2435482263612667,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.0347772207864925,-0.9351360585144903,Yes
3594-KADLU,Male,0,Yes,No,-1.2026057951874878,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,-0.9891964530180606,-0.9677012663209338,No
0932-YIXYU,Female,0,No,No,0.5988611764587796,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),-1.4827269793891216,-0.5573442990231879,No
8348-HFYIV,Male,0,No,No,-1.2435482263612667,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,-0.5189299918631439,-0.972451279671263,Yes
8687-BAFGU,Male,0,No,No,-1.2844906575350454,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,0.30362088542195775,-0.9796757185808335,No
7353-YOWFP,Female,0,No,No,-1.0388360704923727,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,-1.4827269793891216,-0.955307045439377,No
6837-HAEVO,Male,0,Yes,Yes,1.4995946622819134,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,1.3338866307083477,2.2122227874136646,No
6734-GMPVK,Male,0,No,No,-1.1207209328399304,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,1.3438569443724095,-0.7690844290211204,No
7602-DBTOU,Female,0,Yes,No,1.5814795246294708,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,-1.5043293256612555,-0.3864763769234375,No
9894-EZEWG,Female,0,No,No,-1.2844906575350454,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),0.3135911990860195,-0.9795431600687312,Yes
1670-SVOWZ,Female,0,Yes,Yes,-0.752239052275921,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),0.8237389148971839,-0.47844989123702186,Yes
9142-XMYJH,Female,0,No,No,-0.13810258466923891,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),-1.5126379203813072,-0.7465494819637444,No
5893-PYOLZ,Male,0,No,No,0.9673430570227888,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.5628490406875655,0.9912263324401958,No
3319-DWOEP,Male,1,Yes,No,-1.0797785016661514,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.026468626066441,-0.7588553305038996,Yes
9514-JDSKI,Male,1,Yes,No,-1.2844906575350454,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,-0.8197011207290092,-0.9946106442776828,Yes
7432-FFVAR,Female,0,Yes,Yes,0.5579187452850007,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),0.8669436074414517,0.8596178230080505,No
4329-YPDDQ,Male,0,No,No,-0.5065844652332482,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.4402366431250075,-0.038642841167234876,No
2860-RANUS,Female,1,No,No,-0.5065844652332482,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),0.69578655620839,-0.249057386044145,Yes
8696-JKZNU,Female,1,No,No,0.18943686472099153,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.37839823790242155,0.24319864864741708,Yes
1089-XZWHH,Female,0,Yes,Yes,-0.34281474053813293,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,-1.5010058877732348,-0.7940717085523872,No
4831-EOBFE,Male,0,Yes,Yes,-0.13810258466923891,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),0.9899108092982145,0.1581844562191988,Yes
4423-YLHDV,Female,0,Yes,No,-0.46564203405946936,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.3139460033802242,-0.040167264056410225,Yes
5449-FIBXJ,Male,0,Yes,Yes,-0.547526896407027,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,1.2773881866119972,-0.1230384272056427,Yes
8144-DGHXP,Female,0,No,No,0.8854581946752312,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,0.522967786031318,0.8876097621469672,No
6598-RFFVI,Male,0,No,No,-1.2435482263612667,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),-1.5142996393253174,-0.9998687985910703,Yes
3096-JRDSO,Female,1,Yes,No,-0.2199874470167965,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.3106225654922035,0.2547754253710101,Yes
5862-BRIXZ,Male,0,No,No,0.5579187452850007,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),-0.1367346347407734,0.26610917815574925,No
1057-FOGLZ,Female,0,No,No,-0.5884693275808057,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.5026676067172453,-0.8392962542645915,No
9371-BITHB,Female,0,Yes,Yes,0.8035733323276736,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,-1.496020730941204,-0.5393605275479879,No
4580-TMHJU,Female,0,Yes,Yes,0.43509145176366437,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,-0.28961277758972165,0.09197147942414424,Yes
0178-CIIKR,Female,0,No,No,-1.2026057951874878,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.4926972930531834,-0.9867455058929514,No
9348-YVOMK,Male,0,No,No,-1.161663364013709,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),-0.6668229778800613,-0.9345174521246802,No
8417-FMLZI,Male,0,Yes,Yes,-1.0797785016661514,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),0.6210092037279262,-0.8013624267180088,Yes
6851-WEFYX,Male,1,Yes,No,0.10755200237343392,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.194302239411482,0.5065261329384599,No
8181-YHCMF,Female,0,Yes,Yes,1.4586522311081345,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),-0.15169010523686627,0.8032362691939098,No
7548-SEPYI,Female,0,No,No,-1.1207209328399304,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.0430858155065441,-0.7859414531434515,Yes
0374-IOEGQ,Female,0,No,No,-1.2026057951874878,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,-0.6734698536561023,-0.9581570534495746,No
0581-BXBUB,Female,1,No,No,-1.161663364013709,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,0.2620779118217001,-0.8719719274977867,No
9350-ZXYJC,Female,0,No,No,-1.161663364013709,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),-1.3148933660440807,-0.9606977582648669,No
8642-GVWRF,Female,0,Yes,No,-1.2435482263612667,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),0.4930568450391328,-0.9394663032431627,Yes
2931-SVLTV,Male,0,Yes,Yes,0.31226415824232795,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.5033819629973988,0.9623506698872644,No
5183-SNMJQ,Male,0,No,No,-0.9160087769710362,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.0048662797943069,-0.630118922167302,No
7278-CKDNC,Male,1,No,No,-0.34281474053813293,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,0.5196443481432976,-0.08956740289983442,No
8024-XNAFQ,Female,1,No,No,1.6224219558032498,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),1.4136491400208426,2.411502417273989,No
5480-TBGPH,Female,0,Yes,No,-0.34281474053813293,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.1444506710911728,0.06194697643299324,Yes
7301-ABVAD,Female,0,No,No,1.6224219558032498,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),0.7223740593125548,1.7936692854509326,No
4678-DVQEO,Female,0,No,No,-1.2844906575350454,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,-0.42088857416653574,-0.9893083037935942,Yes
9415-DPEWS,Female,0,No,No,-0.5884693275808057,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,0.7805342223529155,-0.2880295886021952,Yes
3748-FVMZZ,Male,0,No,No,-1.161663364013709,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,-0.8246862775610404,-0.9405930505960316,No
5281-BUZGT,Male,1,No,No,0.14849443354721273,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.8636201695534308,0.3957072168210111,Yes
5879-SESNB,Female,0,No,No,-0.8750663457972574,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,0.3451638590222154,-0.6197130789672783,No
1820-TQVEV,Male,0,No,No,-1.2844906575350454,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.15572789940504042,-0.9816420031770162,Yes
9003-CPATH,Male,0,No,No,0.39414902058988555,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,0.4997037208151741,0.4516910950988452,No
1268-ASBGA,Female,1,Yes,No,-0.6703541899283634,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),0.6808310857122971,-0.40474735850819227,Yes
6655-LHBYW,Male,0,No,No,0.721688469980116,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),1.6446280732382748,1.5464918465510091,No
9227-LUNBG,Female,0,No,No,-1.2844906575350454,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,-1.338157431260225,-1.0015036869069978,Yes
9418-RUKPH,Female,0,Yes,Yes,0.23037929589477033,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,-1.4926972930531834,-0.6781492897190032,No
0537-QYZZN,Male,1,Yes,Yes,-0.34281474053813293,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.49804200187116343,-0.1915048987064349,No
8734-FNWVH,Male,0,Yes,Yes,-0.056217722321681304,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),-0.17163073256498976,-0.20575493875742262,No
4801-KFYKL,Male,0,No,Yes,-0.9978936393185939,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),-1.5093144824932865,-0.9420291011438056,No
8327-LZKAS,Female,1,Yes,No,0.43509145176366437,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,1.4186342968528733,0.9909833085013416,Yes
4188-PCPIG,Female,0,Yes,No,1.0082854881965677,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),0.18231540250920522,0.810151404908575,No
1843-TLSGD,Female,0,Yes,Yes,-0.7931814834496999,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,-1.4627863520609978,-0.8920324489959214,No
6906-MPARY,Male,0,No,No,0.31226415824232795,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),0.8220771959531732,0.5289064283983833,No
